"","V1","V2"
"1",0,16.4681039792
"2",1,22.2403920811
"3",2,18.6888572508
"4",3,12.3888207493
"5",4,17.5593268498
"6",5,16.89291386
"7",6,8.7674405151
"8",7,18.0417253874
"9",8,17.7185244833
"10",9,20.7066301999
"11",10,22.5289637051
"12",11,21.8744501845
"13",12,18.1497599894
"14",13,19.6324080775
"15",14,24.4706562045
"16",15,22.7863477105
"17",16,22.8267556267
"18",17,16.7802449351
"19",18,19.5189598937
"20",19,24.8187329806
"21",20,19.8911770218
"22",21,17.3334330817
"23",22,24.5844907809
"24",23,20.3300420047
"25",24,14.934101379
"26",25,21.7880743531
"27",26,25.0586794546
"28",27,18.278590342
"29",28,19.9747100941
"30",29,13.6272126167
"31",30,12.8809428547
"32",31,22.6767691679
"33",32,18.6284310574
"34",33,17.4395600234
"35",34,17.4393248595
"36",35,20.7808013769
"37",36,15.1293155904
"38",37,19.3867117122
"39",38,22.8378482867
"40",39,22.9377602565
"41",40,23.1577034397
"42",41,15.1050642322
"43",42,12.7297386241
"44",43,23.8598818736
"45",44,20.7311825642
"46",45,14.6026658033
"47",46,19.2567025502
"48",47,17.0700836069
"49",48,17.6573979458
"50",49,19.9398838884
"51",50,21.806668973
"52",51,20.9501211192
"53",52,10.096801643
"54",53,12.9744659528
"55",54,21.382710761
"56",55,14.0663840818
"57",56,18.7353134653
"58",57,22.5745863301
"59",58,21.2658193112
"60",59,25.7010964412
"61",60,20.7788066734
"62",61,18.0058504887
"63",62,18.6837766323
"64",63,21.9578588698
"65",64,18.9566458225
"66",65,22.028787865
"67",66,18.2334037889
"68",67,13.4969921188
"69",68,23.4444591288
"70",69,20.3754814224
"71",70,23.7357043105
"72",71,19.9696174088
"73",72,15.6408383783
"74",73,20.7821736868
"75",74,24.6020157783
"76",75,12.5173876296
"77",76,18.3347015182
"78",77,21.0242630259
"79",78,14.1111992834
"80",79,16.2023980131
"81",80,18.7507161369
"82",81,14.8646624583
"83",82,20.7446351788
"84",83,17.309136934
"85",84,15.829110454
"86",85,17.0514393375
"87",86,20.360942638
"88",87,15.855319993
"89",88,23.5167464774
"90",89,14.9210968446
"91",90,15.6477028766
"92",91,22.3385092394
"93",92,14.2619072059
"94",93,17.8989337851
"95",94,17.9018311348
"96",95,12.9860252326
"97",96,14.9516882247
"98",97,15.9337704308
"99",98,19.6041547313
"100",99,17.8933593489
"101",100,12.9492594709
"102",101,19.3436896782
"103",102,21.6505314179
"104",103,22.6955778267
"105",104,23.3285584003
"106",105,17.4593201093
"107",106,12.4717077912
"108",107,21.9672585041
"109",108,22.1722339976
"110",109,23.2671238501
"111",110,20.3579538796
"112",111,19.2126229092
"113",112,17.0862007784
"114",113,12.4775106359
"115",114,20.4322213996
"116",115,21.6857693029
"117",116,15.1116454824
"118",117,21.8052338163
"119",118,17.6881432827
"120",119,21.6012171947
"121",120,20.2264500357
"122",121,12.551646193
"123",122,20.1351135093
"124",123,13.2745622571
"125",124,16.4901128403
"126",125,24.1147827066
"127",126,12.7648740674
"128",127,16.9576520203
"129",128,16.0013315871
"130",129,11.6808638978
"131",130,14.1411105645
"132",131,16.3410810461
"133",132,11.6320102459
"134",133,21.7224113928
"135",134,22.3459639454
"136",135,14.8421581541
"137",136,21.6855966787
"138",137,17.150220248
"139",138,18.1752162973
"140",139,20.7945238841
"141",140,20.0624466202
"142",141,19.6145274038
"143",142,20.2882109041
"144",143,20.5306532943
"145",144,20.4555151818
"146",145,18.0850685967
"147",146,13.3407137269
"148",147,18.6003658819
"149",148,22.2749887111
"150",149,21.4332749644
"151",150,12.7946837767
"152",151,20.929627556
"153",152,18.5765244956
"154",153,15.2431164974
"155",154,17.2498383487
"156",155,12.206070232
"157",156,20.2902846286
"158",157,21.0247805748
"159",158,21.9101542036
"160",159,11.9252236731
"161",160,12.9743900186
"162",161,20.0094752433
"163",162,21.3207821507
"164",163,15.66030393
"165",164,17.6958709355
"166",165,17.5057042652
"167",166,23.5662760298
"168",167,12.9530455546
"169",168,21.2393880185
"170",169,14.223001012
"171",170,21.7349952016
"172",171,15.0302354776
"173",172,19.2922111772
"174",173,19.9327692703
"175",174,15.7765286878
"176",175,16.2719348443
"177",176,25.1807435491
"178",177,17.7107185754
"179",178,22.5884205445
"180",179,20.6202361424
"181",180,12.8147971309
"182",181,19.6890924241
"183",182,16.8119508896
"184",183,14.801108883
"185",184,22.1946062652
"186",185,20.2124742359
"187",186,21.8702632193
"188",187,15.9205369204
"189",188,17.8971079896
"190",189,18.1412933493
"191",190,12.2273213813
"192",191,20.7396648747
"193",192,14.2513757031
"194",193,17.2808688332
"195",194,19.3798827252
"196",195,12.5124708165
"197",196,18.362229165
"198",197,14.0555974377
"199",198,19.3475235909
"200",199,17.3614789219
"201",200,12.8419466995
"202",201,12.3023100327
"203",202,20.701882551
"204",203,17.4167813144
"205",204,23.0861066568
"206",205,13.8523097438
"207",206,21.6259528698
"208",207,23.4123695607
"209",208,16.7763984387
"210",209,13.9025674311
"211",210,16.3399234436
"212",211,17.8542997136
"213",212,15.5747742297
"214",213,18.3089461549
"215",214,14.263706322
"216",215,17.1205096751
"217",216,14.4891117123
"218",217,20.1231968747
"219",218,13.2361524664
"220",219,18.5651985653
"221",220,16.7827290352
"222",221,16.5788474605
"223",222,20.9925416165
"224",223,13.5409863719
"225",224,15.8846955595
"226",225,17.2801649066
"227",226,21.8508572068
"228",227,16.458074963
"229",228,16.0710151882
"230",229,20.5375695144
"231",230,12.9756037761
"232",231,21.6335034698
"233",232,17.7313098911
"234",233,13.4402781774
"235",234,16.8865788662
"236",235,17.924302417
"237",236,16.8621246333
"238",237,15.6879874721
"239",238,13.8102445866
"240",239,20.0386250846
"241",240,19.8578468454
"242",241,12.7764889375
"243",242,12.845337916
"244",243,21.4252192353
"245",244,11.8931186952
"246",245,18.5080107667
"247",246,16.7535488563
"248",247,13.3085952196
"249",248,10.8384447636
"250",249,18.2026126908
"251",250,19.0708770658
"252",251,12.1526874559
"253",252,14.7642634181
"254",253,13.0714216316
"255",254,12.6372091131
"256",255,24.4938143531
"257",256,17.9482081037
"258",257,18.34248727
"259",258,19.5719725192
"260",259,18.2599849106
"261",260,15.5344775421
"262",261,19.5808983653
"263",262,10.9633006623
"264",263,12.5203881054
"265",264,22.236030983
"266",265,20.8766507007
"267",266,12.9124565589
"268",267,13.2689931175
"269",268,23.2452384613
"270",269,17.4411151995
"271",270,17.1449814715
"272",271,12.4251662918
"273",272,14.7940327915
"274",273,13.5165428737
"275",274,12.9809543805
"276",275,20.4137193835
"277",276,20.1915839038
"278",277,10.1470545777
"279",278,17.1375560445
"280",279,12.9386890176
"281",280,18.851083443
"282",281,14.8149635098
"283",282,12.184508634
"284",283,20.9266589096
"285",284,18.9674169805
"286",285,23.1282457599
"287",286,15.8324629272
"288",287,15.6748511731
"289",288,15.8668727004
"290",289,12.3534121356
"291",290,11.4678142174
"292",291,17.0997792754
"293",292,12.233071477
"294",293,16.5066419788
"295",294,18.8039667376
"296",295,15.6696115952
"297",296,12.0711781489
"298",297,23.4747425909
"299",298,12.9021506508
"300",299,12.9742547603
"301",300,12.0058429464
"302",301,17.4569638482
"303",302,16.1216167576
"304",303,11.9221558992
"305",304,12.9436631534
"306",305,12.7935496563
"307",306,19.3264920192
"308",307,15.6082676207
"309",308,16.3026454199
"310",309,12.6761610534
"311",310,12.3216295382
"312",311,12.7877128748
"313",312,12.3294578573
"314",313,19.8492112091
"315",314,17.1930719787
"316",315,12.7295868153
"317",316,22.5091003912
"318",317,19.3659567004
"319",318,20.7119469738
"320",319,12.2026394974
"321",320,18.5053843927
"322",321,14.1710474017
"323",322,17.5538846954
"324",323,17.9848596901
"325",324,15.7385075979
"326",325,12.426254317
"327",326,16.9696659874
"328",327,18.7589230631
"329",328,12.6788309983
"330",329,16.1465775005
"331",330,13.8787107447
"332",331,13.7701588365
"333",332,21.9596720297
"334",333,11.8610429103
"335",334,12.8584932963
"336",335,12.9806242689
"337",336,18.4126123581
"338",337,12.9089410067
"339",338,19.9817206605
"340",339,21.0884483574
"341",340,15.66921578
"342",341,15.5021651359
"343",342,13.3167364919
"344",343,15.1497638979
"345",344,12.4533934805
"346",345,12.6689798557
"347",346,12.9654478077
"348",347,12.9562516015
"349",348,20.4530025671
"350",349,21.67286893
"351",350,15.9051234256
"352",351,11.6782101715
"353",352,15.0031191782
"354",353,12.9414701925
"355",354,12.821163669
"356",355,12.9866603246
"357",356,17.7477540065
"358",357,14.5811740647
"359",358,16.2129496067
"360",359,13.172037339
"361",360,18.28607176
"362",361,15.828253264
"363",362,20.7340554532
"364",363,12.743388418
