"","V1","V2"
"1",0,27.4053208457
"2",1,27.6782872936
"3",2,23.4575371526
"4",3,28.6084355461
"5",4,14.8954585112
"6",5,20.0127293869
"7",6,20.6146663118
"8",7,24.4869828533
"9",8,24.9179728246
"10",9,26.8405530126
"11",10,23.6665454567
"12",11,26.8317630817
"13",12,24.4762752493
"14",13,26.4857186208
"15",14,12.2701662301
"16",15,22.7725954233
"17",16,23.4763905448
"18",17,19.3667948739
"19",18,20.0235668664
"20",19,24.0393643554
"21",20,15.6390635426
"22",21,13.6035096174
"23",22,20.870362901
"24",23,19.2199593845
"25",24,22.8647725417
"26",25,18.3819098906
"27",26,20.7334647714
"28",27,25.5774986022
"29",28,21.8777461382
"30",29,23.2943559049
"31",30,18.0347491864
"32",31,23.2413042544
"33",32,24.7972904161
"34",33,22.0128752947
"35",34,6.0294920565
"36",35,21.5506734183
"37",36,19.3965787431
"38",37,17.4800160932
"39",38,21.3257849212
"40",39,21.9312901463
"41",40,23.2646893962
"42",41,20.3358235465
"43",42,18.3501339754
"44",43,17.4640364523
"45",44,25.7891733905
"46",45,19.8331732526
"47",46,23.9921910835
"48",47,21.951239824
"49",48,22.2415558267
"50",49,24.5907773176
"51",50,25.2372394324
"52",51,22.638348481
"53",52,18.4036128507
"54",53,22.6404014488
"55",54,15.6785798967
"56",55,16.9363524398
"57",56,24.84511692
"58",57,24.1683321616
"59",58,15.5252049347
"60",59,20.9062703361
"61",60,19.3575412065
"62",61,24.2499754135
"63",62,19.2131734607
"64",63,20.3508499474
"65",64,19.9776034608
"66",65,16.3136335504
"67",66,24.8265307246
"68",67,21.1798191539
"69",68,22.8213101007
"70",69,20.1100303881
"71",70,19.1312801596
"72",71,23.1068448841
"73",72,24.7205690015
"74",73,15.994269454
"75",74,9.9901862619
"76",75,19.0712935093
"77",76,22.0083803234
"78",77,22.6764628778
"79",78,24.6243111976
"80",79,16.6394825344
"81",80,22.0590995839
"82",81,21.8859882604
"83",82,22.7445367167
"84",83,22.5119103424
"85",84,23.4016418155
"86",85,19.9554481733
"87",86,16.7589579465
"88",87,23.0630257077
"89",88,11.4493192833
"90",89,20.3952604715
"91",90,18.0771846936
"92",91,20.6830112835
"93",92,24.2772869776
"94",93,17.3108890022
"95",94,12.9794456844
"96",95,12.0897128553
"97",96,13.9587160624
"98",97,21.2396769823
"99",98,21.4891409329
"100",99,21.6246495409
"101",100,9.9879498283
"102",101,18.5672433662
"103",102,21.7868509708
"104",103,10.1554873055
"105",104,16.6068704193
"106",105,22.9642458018
"107",106,13.4667523981
"108",107,13.9304789754
"109",108,18.5875243174
"110",109,9.4863972053
"111",110,20.9453873272
"112",111,19.229773547
"113",112,16.493300454
"114",113,21.274568752
"115",114,20.4711604698
"116",115,18.6838693637
"117",116,20.7822888976
"118",117,12.6615136643
"119",118,14.8317881341
"120",119,20.9267803496
"121",120,11.2872591209
"122",121,16.1272730695
"123",122,22.9773218265
"124",123,21.1377213905
"125",124,17.3827586834
"126",125,19.5902984317
"127",126,13.3557747418
"128",127,22.5959647053
"129",128,11.1086741375
"130",129,12.5307110414
"131",130,21.3100433587
"132",131,20.9989466201
"133",132,21.6596026706
"134",133,9.3614829728
"135",134,13.6827836102
"136",135,11.2924018199
"137",136,17.9398509247
"138",137,15.7623953492
"139",138,21.8728189792
"140",139,17.0864001002
"141",140,19.909183324
"142",141,17.8182636905
"143",142,20.3084890219
"144",143,20.5853719843
"145",144,15.7980619541
"146",145,20.7927424478
"147",146,5.4462637179
"148",147,11.6745979576
"149",148,11.3062335797
"150",149,8.8017889849
"151",150,16.1060944732
"152",151,18.8870552005
"153",152,18.961625236
"154",153,17.3315476261
"155",154,15.7691517293
"156",155,16.178735157
"157",156,19.3993421866
"158",157,19.3863669301
"159",158,20.9701142815
"160",159,18.0126399277
"161",160,20.5119846831
"162",161,19.2693834767
"163",162,14.5383952881
"164",163,9.7520698772
"165",164,16.6017538672
"166",165,19.4575987188
"167",166,11.2322464905
"168",167,13.8032814504
"169",168,14.2538276134
"170",169,15.3003180155
"171",170,16.8172938571
"172",171,16.6681785875
"173",172,18.9116451925
"174",173,15.7451334416
"175",174,12.3579770748
"176",175,19.0324194971
"177",176,16.8870169893
"178",177,17.8839929126
"179",178,16.4505034753
"180",179,18.9018460673
"181",180,11.9723698106
"182",181,19.0243277371
"183",182,17.3727074202
"184",183,15.3851275282
"185",184,12.8841722258
"186",185,0
"187",186,4.6145344623
"188",187,17.6391727488
"189",188,9.1955142625
"190",189,8.4691707438
"191",190,13.4969834762
"192",191,14.48683001
"193",192,5.9225978483
"194",193,10.0631459679
"195",194,15.7568149411
"196",195,15.6825419848
"197",196,13.1171464075
"198",197,14.0852157718
"199",198,11.3403210783
"200",199,10.2708736738
"201",200,5.5868774963
"202",201,11.9679488294
"203",202,12.9881127919
"204",203,12.1978685767
"205",204,6.4742947913
"206",205,7.9799865678
"207",206,8.0766410485
"208",207,11.2061523219
"209",208,9.8023790462
"210",209,9.8400088718
"211",210,8.7213113784
"212",211,5.8917851094
