"","X","V1","V2"
"1",1,2,17.8533446157
"2",2,2.1,23.5560199074
"3",3,2.2,27.9022697709
"4",4,2.3,13.3101996577
"5",5,2.4,19.5838338408
"6",6,2.5,17.4365738542
"7",7,2.6,20.1343304886
"8",8,2.7,21.0808189955
"9",9,2.8,5.8549266822
"10",10,2.9,18.4264193115
"11",1,3,27.4053208457
"12",2,3.1,27.6782872936
"13",3,3.2,23.4575371526
"14",4,3.3,28.6084355461
"15",5,3.4,14.8954585112
"16",6,3.5,20.0127293869
"17",7,3.6,20.6146663118
"18",8,3.7,24.4869828533
"19",9,3.8,24.9179728246
"20",10,3.9,26.8405530126
"21",11,3.1,23.6665454567
"22",12,3.11,26.8317630817
"23",13,3.12,24.4762752493
"24",14,3.13,26.4857186208
"25",15,3.14,12.2701662301
"26",16,3.15,22.7725954233
"27",17,3.16,23.4763905448
"28",18,3.17,19.3667948739
"29",19,3.18,20.0235668664
"30",20,3.19,24.0393643554
"31",21,3.2,15.6390635426
"32",22,3.21,13.6035096174
"33",23,3.22,20.870362901
"34",24,3.23,19.2199593845
"35",25,3.24,22.8647725417
"36",26,3.25,18.3819098906
"37",27,3.26,20.7334647714
"38",28,3.27,25.5774986022
"39",29,3.28,21.8777461382
"40",30,3.29,23.2943559049
"41",31,3.3,18.0347491864
"42",32,3.31,23.2413042544
"43",33,3.32,24.7972904161
"44",34,3.33,22.0128752947
"45",35,3.34,6.0294920565
"46",36,3.35,21.5506734183
"47",37,3.36,19.3965787431
"48",38,3.37,17.4800160932
"49",39,3.38,21.3257849212
"50",40,3.39,21.9312901463
"51",41,3.4,23.2646893962
"52",42,3.41,20.3358235465
"53",43,3.42,18.3501339754
"54",44,3.43,17.4640364523
"55",45,3.44,25.7891733905
"56",46,3.45,19.8331732526
"57",47,3.46,23.9921910835
"58",48,3.47,21.951239824
"59",49,3.48,22.2415558267
"60",50,3.49,24.5907773176
"61",51,3.5,25.2372394324
"62",52,3.51,22.638348481
"63",53,3.52,18.4036128507
"64",54,3.53,22.6404014488
"65",55,3.54,15.6785798967
"66",56,3.55,16.9363524398
"67",57,3.56,24.84511692
"68",58,3.57,24.1683321616
"69",59,3.58,15.5252049347
"70",60,3.59,20.9062703361
"71",61,3.6,19.3575412065
"72",62,3.61,24.2499754135
"73",63,3.62,19.2131734607
"74",64,3.63,20.3508499474
"75",65,3.64,19.9776034608
"76",66,3.65,16.3136335504
"77",67,3.66,24.8265307246
"78",68,3.67,21.1798191539
"79",69,3.68,22.8213101007
"80",70,3.69,20.1100303881
"81",71,3.7,19.1312801596
"82",72,3.71,23.1068448841
"83",73,3.72,24.7205690015
"84",74,3.73,15.994269454
"85",75,3.74,9.9901862619
"86",76,3.75,19.0712935093
"87",77,3.76,22.0083803234
"88",78,3.77,22.6764628778
"89",79,3.78,24.6243111976
"90",80,3.79,16.6394825344
"91",81,3.8,22.0590995839
"92",82,3.81,21.8859882604
"93",83,3.82,22.7445367167
"94",84,3.83,22.5119103424
"95",85,3.84,23.4016418155
"96",86,3.85,19.9554481733
"97",87,3.86,16.7589579465
"98",88,3.87,23.0630257077
"99",89,3.88,11.4493192833
"100",90,3.89,20.3952604715
"101",91,3.9,18.0771846936
"102",92,3.91,20.6830112835
"103",93,3.92,24.2772869776
"104",94,3.93,17.3108890022
"105",95,3.94,12.9794456844
"106",96,3.95,12.0897128553
"107",97,3.96,13.9587160624
"108",98,3.97,21.2396769823
"109",99,3.98,21.4891409329
"110",100,3.99,21.6246495409
"111",101,3.1,9.9879498283
"112",102,3.101,18.5672433662
"113",103,3.102,21.7868509708
"114",104,3.103,10.1554873055
"115",105,3.104,16.6068704193
"116",106,3.105,22.9642458018
"117",107,3.106,13.4667523981
"118",108,3.107,13.9304789754
"119",109,3.108,18.5875243174
"120",110,3.109,9.4863972053
"121",111,3.11,20.9453873272
"122",112,3.111,19.229773547
