"","V1","V2"
"1",0,29.3480239879
"2",1,24.0978668132
"3",2,25.3501054386
"4",3,24.6569025361
"5",4,21.6744145838
"6",5,28.8338113801
"7",6,20.8926486888
"8",7,24.0060845381
"9",8,27.4807681851
"10",9,27.8871614827
"11",10,23.7449011889
"12",11,27.6912901038
"13",12,22.4282192004
"14",13,23.9789732785
"15",14,16.3827671823
"16",15,11.9022181635
"17",16,25.8487336618
"18",17,18.8234164452
"19",18,24.1453441329
"20",19,27.4508649419
"21",20,22.1009617562
"22",21,17.1819746183
"23",22,20.1818986459
"24",23,26.63129631
"25",24,22.8513855881
"26",25,15.2986257589
"27",26,26.3604438779
"28",27,28.4587137777
"29",28,22.318080096
"30",29,23.2102260399
"31",30,19.345080582
"32",31,21.1491996595
"33",32,27.9066395295
"34",33,22.2945908841
"35",34,27.3970157323
"36",35,20.2491289832
"37",36,26.958349953
"38",37,22.6401026399
"39",38,23.6142759495
"40",39,26.8196112283
"41",40,24.1860336921
"42",41,27.91276141
"43",42,23.6203429645
"44",43,24.1199450414
"45",44,27.3761708425
"46",45,26.998579118
"47",46,19.0219999031
"48",47,22.0495633729
"49",48,19.5092605405
"50",49,20.5523234455
"51",50,22.3484515493
"52",51,24.4727815246
"53",52,26.0002478808
"54",53,23.8356422543
"55",54,27.8170112248
"56",55,24.8031377371
"57",56,22.8616113868
"58",57,27.9163107676
"59",58,24.5063603963
"60",59,27.5625072124
"61",60,28.2728081372
"62",61,21.4818049582
"63",62,22.0757503158
"64",63,23.9736292352
"65",64,25.4122103892
"66",65,21.663207923
"67",66,17.7547250143
"68",67,16.4215232454
"69",68,24.1435464749
"70",69,14.538223623
"71",70,28.167617447
"72",71,23.024151729
"73",72,21.5189898247
"74",73,27.9388934468
"75",74,27.4560861319
"76",75,28.0817077587
"77",76,24.763946821
"78",77,20.5767798294
"79",78,24.8668705392
"80",79,26.7536649262
"81",80,27.3212559705
"82",81,15.1326848368
"83",82,15.0082844103
"84",83,13.7848430273
"85",84,23.4322724092
"86",85,22.7283456687
"87",86,23.5986910188
"88",87,25.8450865853
"89",88,20.7418018438
"90",89,15.757603016
"91",90,24.8917220577
"92",91,22.1364752643
"93",92,27.042216838
"94",93,21.8754675909
"95",94,19.2207546515
"96",95,23.0083435173
"97",96,22.3057444499
"98",97,18.0860007484
"99",98,26.5021725009
"100",99,25.1022965943
"101",100,23.0326421357
"102",101,19.5606886758
"103",102,15.3039272919
"104",103,18.3388673275
"105",104,24.0491249952
"106",105,24.730174918
"107",106,16.8972397886
"108",107,21.1559261908
"109",108,26.3435854819
"110",109,17.5663334865
"111",110,21.5659689596
"112",111,18.3910072637
"113",112,27.6097874454
"114",113,24.0199118419
"115",114,13.541059611
"116",115,20.3405268927
"117",116,19.1796704689
"118",117,25.3302992758
"119",118,23.0087256141
"120",119,22.8438977454
"121",120,22.5941318609
"122",121,18.4719187348
"123",122,23.9722422701
"124",123,21.6845677009
"125",124,22.7344620291
"126",125,19.9949280322
"127",126,26.6941913154
"128",127,27.4448284242
"129",128,26.7108121268
"130",129,23.0765658459
"131",130,26.2692034995
"132",131,26.6090630413
"133",132,25.8115085615
"134",133,22.7062948403
"135",134,16.5315141186
"136",135,27.2766767426
"137",136,26.5251241639
"138",137,23.590151821
"139",138,20.6195378579
