"","V1","V2"
"1",0,26.7162695788
"2",1,20.9172195371
"3",2,28.1297988069
"4",3,24.1486046294
"5",4,14.8470660863
"6",5,16.7158356615
"7",6,21.7178069135
"8",7,25.4065227705
"9",8,20.435103991
"10",9,21.8273822839
"11",10,27.018366586
"12",11,24.227447523
"13",12,25.8516819473
"14",13,28.1605617856
"15",14,24.6746817445
"16",15,21.0544920506
"17",16,24.348603866
"18",17,26.0491098107
"19",18,21.3619777984
"20",19,21.2991284754
"21",20,20.0863371693
"22",21,21.2078862005
"23",22,21.2868181791
"24",23,24.3916757294
"25",24,18.9618261239
"26",25,19.5109844987
"27",26,22.2054157122
"28",27,21.8092488511
"29",28,19.9604563754
"30",29,27.0143697278
"31",30,24.7849123472
"32",31,25.2346922368
"33",32,13.2275373421
"34",33,22.3421596803
"35",34,21.6872201954
"36",35,27.8515538455
"37",36,22.4750686845
"38",37,24.9667087686
"39",38,26.6107957639
"40",39,18.245563753
"41",40,19.383868102
"42",41,17.9010900538
"43",42,24.8798801401
"44",43,23.3279785738
"45",44,22.3369689735
"46",45,26.6328424468
"47",46,26.8175306713
"48",47,26.792895643
"49",48,27.045337934
"50",49,20.113826232
"51",50,22.5868987096
"52",51,22.6975994317
"53",52,17.2954136374
"54",53,20.2559807576
"55",54,26.6899414421
"56",55,24.3533952732
"57",56,18.6745054147
"58",57,24.9731640897
"59",58,23.7316313803
"60",59,22.9132754268
"61",60,19.1429050118
"62",61,26.319507052
"63",62,14.4925252562
"64",63,25.8913232577
"65",64,15.655073525
"66",65,26.2392001937
"67",66,18.1679952612
"68",67,26.7911557935
"69",68,24.2771310825
"70",69,13.0358669734
"71",70,23.2431012806
"72",71,26.6588966846
"73",72,19.1865239032
"74",73,27.2347329643
"75",74,16.609736461
"76",75,18.6971905767
"77",76,18.0654782104
"78",77,26.7519313063
"79",78,21.3896332202
"80",79,23.3576718285
"81",80,8.3071789661
"82",81,21.7845297255
"83",82,12.5818404294
"84",83,26.507405438
"85",84,21.2181296016
"86",85,23.4139283006
"87",86,22.8071272682
"88",87,20.9988912076
"89",88,12.563586904
"90",89,21.6806865006
"91",90,26.7795026309
"92",91,15.5478450441
"93",92,26.6700475477
"94",93,26.8001084957
"95",94,21.2008411063
"96",95,26.2607968799
"97",96,26.2859049126
"98",97,18.8369957018
"99",98,3.6262315047
"100",99,19.4002982316
"101",100,12.9139355131
"102",101,16.0474437039
"103",102,26.1905854431
"104",103,25.8143097234
"105",104,21.6179225447
"106",105,23.5488772038
"107",106,24.8145718799
"108",107,22.0789835137
"109",108,17.2676170676
"110",109,26.4068698906
"111",110,26.8530761743
"112",111,18.258240445
"113",112,19.4489639242
"114",113,22.0209650475
"115",114,18.8364637171
"116",115,8.0978580403
"117",116,24.4230169237
"118",117,23.7279855873
"119",118,21.7785731879
"120",119,24.4408777071
"121",120,19.2985157637
"122",121,26.5969919129
"123",122,26.7592918713
"124",123,25.816550856
"125",124,22.1973666604
"126",125,10.1794136458
"127",126,23.4113335637
"128",127,23.2452986713
"129",128,19.9823861454
"130",129,22.4927098915
"131",130,25.1827592277
"132",131,24.4492933775
"133",132,25.5892573502
"134",133,21.0700771611
"135",134,19.5281416232
"136",135,26.3277180572
"137",136,22.9230709086
"138",137,20.1245562082
"139",138,17.3067327908
"140",139,18.3483838847
"141",140,22.3975400369
"142",141,24.5335552202
"143",142,21.6417492626
"144",143,22.2113264298
"145",144,15.8333220656
"146",145,24.2501932291
"147",146,21.3739404119
"148",147,16.1920510941
"149",148,16.1353749347
"150",149,16.5924876297
"151",150,20.9670780978
"152",151,23.6928147498
"153",152,21.8034093351
"154",153,25.1490786154
"155",154,18.959992101
"156",155,22.3649161128
"157",156,25.553765285
"158",157,23.9047773274
"159",158,21.7352998354
"160",159,23.9387908481
"161",160,19.2012029429
"162",161,20.851880191
"163",162,15.0721817647
"164",163,25.9540346985
"165",164,25.6705230373
"166",165,23.1316406669
"167",166,24.5850536355
"168",167,14.1193421233
"169",168,19.6240202446
"170",169,22.8180580312
"171",170,25.6844688269
"172",171,22.3613787292
"173",172,18.276159765
"174",173,23.375163398
"175",174,25.1083681487
"176",175,21.884809999
"177",176,12.5192293931
"178",177,20.9789609678
"179",178,23.6082084836
"180",179,19.101585215
"181",180,25.4297775419
"182",181,18.3821594541
"183",182,20.1298055097
"184",183,23.3747165036
"185",184,22.0808845697
"186",185,24.7040759628
"187",186,25.3653177912
"188",187,25.6194483036
"189",188,25.6042598172
"190",189,19.2880155062
"191",190,19.6584104513
"192",191,25.3000136349
"193",192,20.8454650679
"194",193,22.0044677683
"195",194,23.8338863155
"196",195,23.7287844806
"197",196,14.7924103609
"198",197,24.0563385826
"199",198,21.874069274
"200",199,14.7758411853
"201",200,11.4947134582
"202",201,17.3905062708
"203",202,16.4190256858
"204",203,20.8961037583
"205",204,22.5063902102
"206",205,21.9642503395
"207",206,17.8451928964
"208",207,23.3137352861
"209",208,21.210467294
"210",209,20.7590936489
"211",210,24.2601496096
"212",211,14.8759536746
"213",212,12.0589324634
"214",213,23.6073902219
"215",214,25.0749162147
"216",215,21.5036369067
"217",216,23.860687728
"218",217,20.2555832271
"219",218,25.4623494231
"220",219,25.3998674383
"221",220,24.9436420738
"222",221,17.4927666712
"223",222,19.5029563739
"224",223,24.6016952693
"225",224,22.2486805102
"226",225,22.094309792
"227",226,24.1056191313
"228",227,24.1271822062
"229",228,22.5299390956
"230",229,18.6586569002
"231",230,23.8042299235
"232",231,23.7004982972
"233",232,22.4202028445
"234",233,17.1671544844
"235",234,18.4400917755
"236",235,18.7264073572
"237",236,13.4992787579
"238",237,18.5426304102
"239",238,23.7902364654
"240",239,17.2459821208
"241",240,21.5645378809
"242",241,23.537283345
"243",242,25.0350729715
"244",243,21.0831482217
"245",244,22.368353688
"246",245,15.6489004804
"247",246,24.0571004047
"248",247,13.9009496424
"249",248,23.8745579785
"250",249,17.9972717473
"251",250,17.7784357208
"252",251,12.2816411769
"253",252,20.6656231649
"254",253,17.2420672538
"255",254,25.0993818462
"256",255,23.9770676506
"257",256,22.6842897752
"258",257,12.8573955398
"259",258,22.757090448
"260",259,21.942651785
