"xdesign1","xdesign2","xdesign3","xdesign4","xdesign5","xdesign6","xdesign7","xdesign8","xdesign9","xdesign10","xdesign11","xdesign12","xdesign13","xdesign14","xdesign15","ssd.c"
0.14355,0.94075,0.73605,0.40045,0.86005,0.22215,0.49305,0.06005,0.52485,0.86185,0.19615,0.47375,0.02905,0.99245,0.30795,10.0839566931407
0.03075,0.89615,0.56025,0.42885,0.78155,0.25435,0.57925,0.07985,0.68065,0.81785,0.25975,0.29585,0.09025,0.56835,0.62325,10.7009226692909
0.13035,0.94465,0.50225,0.44595,0.22685,0.61775,0.66575,0.20455,0.96935,0.54775,0.38125,0.29045,0.04815,0.74265,0.63975,11.1644509460188
0.12465,0.96165,0.37145,0.85255,0.89905,0.15675,0.19385,0.14205,0.89355,0.69325,0.04415,0.51235,0.06215,0.00925,0.15635,11.495667372373
0.25565,0.88355,0.60955,0.83875,0.45295,0.38035,0.68755,0.00635,0.23025,0.57935,0.34655,0.35475,0.16035,0.98725,0.30825,11.5571479419513
0.49315,0.98095,0.17105,0.74865,0.70755,0.17325,0.75035,0.04365,0.78495,0.75975,0.33245,0.71265,0.19675,0.16885,0.25685,11.6310193404148
0.04595,0.84895,0.60045,0.84475,0.47765,0.00945,0.69445,0.14395,0.64275,0.39025,0.22525,0.36015,0.02125,0.27635,0.80375,11.6548498772387
0.24295,0.84515,0.71595,0.10955,0.57495,0.16765,0.68545,0.41005,0.86575,0.86655,0.28665,0.67885,0.00235,0.89245,0.53215,11.9141638252771
0.05145,0.81375,0.41845,0.65905,0.93985,0.09315,0.00135,0.04115,0.20425,0.92205,0.76265,0.36145,0.11625,0.77445,0.61775,11.9163793541093
0.30245,0.99035,0.48395,0.34195,0.93395,0.01225,0.70105,0.38265,0.26095,0.52465,0.85665,0.59745,0.05385,0.40505,0.14055,12.3591825408121
0.31355,0.92255,0.66305,0.32565,0.47405,0.48935,0.61945,0.04295,0.39575,0.89185,0.35345,0.36305,0.38185,0.26885,0.58815,12.4388722847975
0.05125,0.94605,0.25115,0.61525,0.96105,0.09565,0.07565,0.24235,0.38015,0.93905,0.91335,0.45125,0.09165,0.62245,0.47585,12.4411804009169
0.19575,0.89265,0.15115,0.50725,0.18865,0.51815,0.06465,0.06415,0.93285,0.83875,0.69245,0.11285,0.18575,0.98455,0.58645,12.5613135200746
0.03025,0.72955,0.52615,0.35105,0.22175,0.11285,0.99535,0.46285,0.25635,0.88195,0.25835,0.17025,0.30635,0.97395,0.69085,12.5845955772224
0.06035,0.95295,0.35275,0.40785,0.28155,0.11275,0.71465,0.69125,0.54285,0.68355,0.64385,0.16705,0.00215,0.68435,0.24295,12.6336314329403
0.18205,0.89085,0.77125,0.62395,0.43925,0.38775,0.03755,0.01365,0.76725,0.64425,0.15735,0.05775,0.14785,0.76675,0.69145,12.7220299835058
0.37295,0.90085,0.46495,0.77555,0.98025,0.05695,0.04195,0.18845,0.63975,0.47275,0.73645,0.36365,0.05575,0.86745,0.35005,12.7925475738938
0.31685,0.93025,0.63685,0.54775,0.89815,0.51455,0.92945,0.16735,0.20015,0.95535,0.63035,0.84245,0.12945,0.89785,0.13295,12.8204018586225
0.05585,0.93385,0.38665,0.64725,0.98785,0.58325,0.33245,0.10105,0.53425,0.49185,0.25515,0.15565,0.20255,0.57255,0.69365,12.8485242246457
0.49815,0.94565,0.30425,0.64425,0.51865,0.36075,0.95115,0.27905,0.86775,0.61655,0.22565,0.42775,0.22995,0.94905,0.10275,12.8530252653331
0.00695,0.84685,0.31995,0.58925,0.96475,0.39935,0.95355,0.14255,0.33635,0.02785,0.37465,0.36905,0.06995,0.43605,0.92075,12.9066408820898
0.15345,0.93315,0.70285,0.32575,0.45735,0.40485,0.85175,0.22175,0.54535,0.91735,0.06185,0.16805,0.41455,0.69675,0.25765,12.9211787371754
0.04645,0.80285,0.91055,0.74335,0.44095,0.53455,0.72945,0.08925,0.18305,0.53375,0.07095,0.55445,0.19085,0.49205,0.16805,12.9270361973042
0.03625,0.92035,0.00845,0.52285,0.58575,0.66615,0.68705,0.17545,0.79735,0.61665,0.83785,0.59075,0.10305,0.40265,0.34765,12.9785030215438
0.14105,0.95525,0.96155,0.32615,0.02195,0.87795,0.32545,0.21755,0.97845,0.27815,0.16485,0.08185,0.00335,0.51035,0.55475,13.1125712777506
0.05055,0.82565,0.56425,0.09125,0.35615,0.67315,0.16575,0.07795,0.66675,0.91805,0.70075,0.03245,0.10735,0.45225,0.64405,13.1279989730897
0.57195,0.93075,0.39295,0.79605,0.83295,0.09975,0.30965,0.06815,0.41905,0.79035,0.70815,0.51195,0.18765,0.45015,0.50375,13.1408681681495
0.20755,0.71745,0.46295,0.71305,0.09475,0.04225,0.76535,0.46625,0.91425,0.51505,0.60195,0.44815,0.11435,0.57655,0.17955,13.2048899526247
0.31785,0.95915,0.27585,0.91135,0.36785,0.42415,0.97745,0.45755,0.42405,0.59565,0.38915,0.78095,0.05995,0.23605,0.81055,13.2643114021229
0.32335,0.97675,0.63305,0.07245,0.72445,0.32005,0.83595,0.26565,0.84765,0.92885,0.71665,0.84595,0.24655,0.30005,0.96275,13.282383024001
0.01435,0.83065,0.56285,0.57835,0.82445,0.31975,0.63975,0.26615,0.60345,0.18245,0.07625,0.32845,0.26035,0.96915,0.05705,13.2863000024413
0.68125,0.95945,0.11455,0.91365,0.46465,0.03095,0.72175,0.51015,0.63175,0.67155,0.05805,0.28955,0.09425,0.09555,0.31195,13.2979956718857
0.03055,0.71285,0.58225,0.31505,0.86515,0.15475,0.59195,0.09645,0.67985,0.46535,0.44845,0.22875,0.23275,0.38645,0.66365,13.3667258251492
0.26495,0.80305,0.19985,0.29495,0.75125,0.07285,0.72835,0.37155,0.33705,0.64275,0.19855,0.07975,0.29445,0.57915,0.30105,13.3796300555235
0.34815,0.95025,0.93515,0.22665,0.39155,0.53355,0.69725,0.31455,0.17195,0.71015,0.27925,0.68455,0.16615,0.89225,0.10505,13.3948941676397
0.55755,0.92855,0.63045,0.38785,0.04955,0.62045,0.71715,0.25855,0.37525,0.61725,0.97305,0.17975,0.12185,0.50775,0.15065,13.4034919757929
0.43845,0.85325,0.49035,0.54105,0.26705,0.00675,0.54425,0.55925,0.90305,0.30275,0.10815,0.42975,0.14095,0.45295,0.67515,13.4153199601854
0.36875,0.91755,0.94885,0.43055,0.36415,0.33815,0.50325,0.30255,0.61055,0.45235,0.83705,0.71545,0.02585,0.11485,0.37505,13.4256577821005
0.51365,0.89385,0.06925,0.77135,0.44185,0.13975,0.87145,0.43135,0.22485,0.78635,0.51635,0.20105,0.51115,0.90705,0.54525,13.4517658231518
0.03605,0.93105,0.59785,0.87045,0.90785,0.10955,0.38845,0.15535,0.56595,0.40555,0.24045,0.84985,0.18225,0.11715,0.78395,13.4685396249947
0.00485,0.63415,0.48625,0.49595,0.79465,0.51975,0.82415,0.05465,0.07585,0.71415,0.05925,0.42685,0.15315,0.51575,0.15055,13.4743938309597
0.37465,0.90635,0.41465,0.36945,0.77145,0.01855,0.29255,0.35725,0.56425,0.85575,0.27915,0.37415,0.07715,0.31325,0.66785,13.5249804293212
0.08395,0.64775,0.78005,0.87745,0.11455,0.28645,0.67935,0.07955,0.34195,0.56565,0.52615,0.28405,0.08255,0.66325,0.71055,13.5847069727248
0.17285,0.88765,0.26965,0.19995,0.30865,0.04205,0.73045,0.56635,0.94965,0.80125,0.24235,0.15475,0.48585,0.85945,0.22955,13.6520634987015
0.12625,0.93015,0.27635,0.93095,0.15505,0.07785,0.27455,0.49545,0.54115,0.99415,0.61525,0.67285,0.36305,0.67105,0.09515,13.6558987525031
0.29475,0.78985,0.09785,0.81735,0.41545,0.76225,0.77545,0.10875,0.52925,0.62545,0.62175,0.00595,0.23495,0.10845,0.56215,13.6691399359621
0.09115,0.86775,0.64435,0.98825,0.69755,0.63995,0.79795,0.10025,0.56755,0.27355,0.01515,0.62265,0.02185,0.36275,0.86685,13.6717514618769
0.23705,0.85595,0.72445,0.18805,0.47255,0.95005,0.78205,0.24175,0.87745,0.05425,0.54985,0.41565,0.02395,0.88815,0.60535,13.6919867878836
0.10555,0.73335,0.58045,0.76585,0.20385,0.72595,0.93405,0.31785,0.15605,0.41515,0.98645,0.33845,0.03175,0.32985,0.55635,13.7248891712026
0.28135,0.96475,0.58915,0.08135,0.48195,0.76005,0.80515,0.39255,0.84285,0.62205,0.04885,0.65505,0.08665,0.07435,0.44495,13.7317424130523
0.11175,0.77765,0.95605,0.26635,0.89135,0.72795,0.53445,0.09445,0.23625,0.69815,0.54585,0.43715,0.12655,0.93745,0.25805,13.7413194894622
0.00045,0.69045,0.09525,0.46605,0.86065,0.18955,0.91795,0.40485,0.70765,0.82665,0.36835,0.35065,0.25425,0.97035,0.16695,13.7732878450679
0.37125,0.98975,0.70815,0.12545,0.73885,0.33335,0.39575,0.02215,0.92245,0.65265,0.79565,0.71505,0.31455,0.44295,0.53595,13.8064640946401
0.32985,0.84425,0.26135,0.99365,0.39745,0.65275,0.85745,0.07335,0.66525,0.97945,0.65355,0.61725,0.18355,0.46275,0.51855,13.8086726906133
0.45455,0.77375,0.07805,0.81285,0.46305,0.79765,0.56005,0.07685,0.76225,0.50635,0.60385,0.55575,0.12915,0.83405,0.72395,13.9113914648041
0.15375,0.83795,0.45215,0.99315,0.09345,0.25465,0.47635,0.22605,0.34705,0.35985,0.28795,0.38545,0.07075,0.38365,0.14405,13.9538698542231
0.35865,0.95845,0.62315,0.40825,0.36285,0.74165,0.67095,0.32475,0.31725,0.79525,0.14525,0.34145,0.43995,0.63325,0.06225,13.9713477837981
0.39655,0.87835,0.14315,0.19955,0.45025,0.35405,0.60865,0.22585,0.95745,0.42265,0.40075,0.03715,0.42735,0.99415,0.00195,13.9852260746214
0.54495,0.92715,0.75385,0.42685,0.39595,0.40235,0.68095,0.24685,0.51495,0.67425,0.39025,0.73745,0.26705,0.48595,0.77245,13.9877352942675
0.24505,0.71305,0.79065,0.27485,0.33445,0.33895,0.38395,0.10265,0.70185,0.55315,0.55745,0.37865,0.18855,0.72395,0.02935,14.0060726123855
0.37605,0.77635,0.31365,0.51485,0.68935,0.17135,0.51915,0.28575,0.24035,0.32925,0.63475,0.08025,0.12255,0.82775,0.44145,14.0212715510505
0.10975,0.95165,0.55645,0.61555,0.21835,0.94615,0.94195,0.04385,0.47935,0.26835,0.28355,0.27925,0.35545,0.11795,0.66295,14.0274255537966
0.32945,0.65395,0.37485,0.71475,0.14825,0.44195,0.80455,0.38995,0.36115,0.76205,0.81785,0.12365,0.21485,0.96445,0.02355,14.0461315736331
0.14945,0.83765,0.47535,0.74025,0.03945,0.61845,0.71755,0.42415,0.73705,0.28145,0.20805,0.39605,0.31715,0.97835,0.38435,14.0646012884188
0.17845,0.99125,0.89195,0.64965,0.22995,0.68965,0.74545,0.08665,0.76795,0.30785,0.85275,0.42075,0.05265,0.74935,0.52695,14.0798573488683
0.12955,0.97115,0.41505,0.23895,0.41335,0.33755,0.22335,0.02185,0.86705,0.90435,0.98405,0.65945,0.35945,0.84805,0.64835,14.1192920040373
0.34925,0.77055,0.47985,0.77605,0.64965,0.47415,0.80845,0.06035,0.75465,0.60975,0.26385,0.96865,0.24665,0.94105,0.28355,14.1200981745076
0.30115,0.85915,0.61125,0.01375,0.96175,0.17485,0.58135,0.16095,0.48565,0.76665,0.17725,0.77215,0.19925,0.35655,0.27785,14.1613686423287
0.25595,0.57165,0.60115,0.35285,0.88175,0.00605,0.14125,0.09765,0.90075,0.68095,0.11105,0.65715,0.06895,0.71465,0.45165,14.1677228927221
0.47215,0.81865,0.43755,0.67165,0.20275,0.00655,0.64765,0.75965,0.91675,0.16495,0.31485,0.62185,0.05925,0.72705,0.21005,14.2065096528918
0.21855,0.92315,0.52795,0.44165,0.73125,0.73565,0.89905,0.01635,0.12105,0.12165,0.56155,0.13085,0.39475,0.28885,0.47075,14.2253106472104
0.09395,0.85135,0.53805,0.79705,0.14865,0.55475,0.51475,0.11265,0.33455,0.56185,0.88645,0.23975,0.44585,0.58465,0.56345,14.2478766075604
0.31295,0.90645,0.31315,0.38525,0.46705,0.67415,0.76235,0.36055,0.61885,0.31915,0.89475,0.28665,0.31255,0.99945,0.60575,14.2686467827817
0.18805,0.89125,0.13495,0.50025,0.26115,0.05605,0.89005,0.37315,0.93685,0.34305,0.67915,0.44915,0.21405,0.06715,0.17305,14.2703580576982
0.03105,0.90315,0.56245,0.85235,0.00065,0.67165,0.54295,0.40985,0.86865,0.96375,0.31275,0.64645,0.02155,0.14025,0.01315,14.3001861935791
0.21795,0.90995,0.15965,0.41105,0.26905,0.52165,0.53645,0.31065,0.28565,0.84645,0.34095,0.03895,0.14355,0.94305,0.02805,14.3173538062151
0.21445,0.93435,0.71215,0.91035,0.45145,0.28755,0.12225,0.16715,0.91475,0.14985,0.77915,0.58565,0.20025,0.79875,0.37795,14.3280233256498
0.47735,0.86625,0.01425,0.16775,0.99955,0.48645,0.92355,0.07305,0.61695,0.90315,0.88535,0.26635,0.40125,0.73855,0.94135,14.330362816518
0.46275,0.78805,0.63495,0.03515,0.78335,0.19775,0.84165,0.14545,0.55655,0.73085,0.16075,0.59025,0.44795,0.93525,0.54425,14.3608891438756
0.09095,0.63125,0.58145,0.70465,0.76855,0.88475,0.88405,0.01995,0.07615,0.24305,0.28145,0.50205,0.11055,0.75775,0.20475,14.3630010022303
0.13355,0.47165,0.31645,0.74765,0.65545,0.05145,0.70435,0.24675,0.49125,0.83135,0.12255,0.56725,0.25475,0.50565,0.17635,14.3679872583114
0.23535,0.83335,0.75985,0.47585,0.60125,0.01915,0.88415,0.61475,0.16695,0.62185,0.57135,0.76225,0.24625,0.74625,0.28105,14.3696391149552
0.27445,0.94185,0.26685,0.86675,0.00695,0.22015,0.11245,0.51795,0.80285,0.77035,0.25555,0.59475,0.08675,0.69385,0.16425,14.4418231654861
0.43905,0.64275,0.46995,0.63445,0.40475,0.25875,0.56105,0.22285,0.91895,0.80655,0.75225,0.83625,0.04675,0.11405,0.44595,14.4676732153538
0.41755,0.81995,0.52485,0.28075,0.80235,0.05245,0.59105,0.35835,0.37065,0.87495,0.23025,0.05165,0.11205,0.77525,0.25435,14.4881727363691
0.34305,0.72985,0.32355,0.74525,0.87955,0.60885,0.80675,0.14175,0.30315,0.61905,0.86925,0.86115,0.04065,0.93395,0.93625,14.4942107813811
0.58555,0.99715,0.54815,0.08925,0.79315,0.12815,0.71765,0.20175,0.12695,0.58595,0.04585,0.00185,0.30905,0.84505,0.83515,14.5018090776032
0.33175,0.87305,0.41645,0.52255,0.61405,0.27315,0.54415,0.01165,0.69225,0.83325,0.53815,0.73675,0.49665,0.60865,0.89555,14.5098567959103
0.02545,0.85175,0.01705,0.57815,0.60655,0.84065,0.83715,0.21575,0.74975,0.93615,0.65265,0.51005,0.41045,0.44765,0.69355,14.5466520946462
0.13885,0.72965,0.49405,0.95115,0.45285,0.68275,0.76425,0.30875,0.33515,0.50165,0.30905,0.42705,0.19435,0.25405,0.70525,14.5748190625696
0.05155,0.93335,0.22445,0.88165,0.07815,0.58885,0.45065,0.00395,0.16285,0.99525,0.77685,0.12035,0.78625,0.12595,0.19175,14.5900113056927
0.56345,0.85415,0.34835,0.95125,0.01195,0.04845,0.75695,0.56915,0.83705,0.81155,0.35425,0.93935,0.48435,0.92265,0.89765,14.5978742258218
0.09745,0.93775,0.87125,0.01515,0.53275,0.87015,0.70835,0.28535,0.68925,0.81795,0.86465,0.69245,0.04545,0.19505,0.58455,14.6060966986542
0.59565,0.98085,0.31095,0.84595,0.94705,0.83085,0.69905,0.04585,0.07755,0.20075,0.31065,0.06715,0.13395,0.65295,0.70145,14.608367950628
0.30345,0.87935,0.00445,0.88225,0.74175,0.71125,0.97345,0.00035,0.74405,0.12205,0.32915,0.13305,0.37115,0.72885,0.09745,14.6400768610775
0.15305,0.98635,0.40345,0.53685,0.95535,0.17595,0.99305,0.17775,0.26165,0.85715,0.64285,0.04285,0.49725,0.19625,0.55045,14.6652762210706
0.39045,0.84445,0.54075,0.64805,0.63785,0.61205,0.69395,0.04185,0.55025,0.85585,0.32095,0.38605,0.27615,0.05335,0.81215,14.6773877373218
0.01335,0.52055,0.11705,0.85935,0.24925,0.43805,0.46325,0.34605,0.48975,0.71815,0.89565,0.21025,0.13485,0.73805,0.69125,14.6884686151124
0.04715,0.96585,0.37465,0.99085,0.98165,0.36695,0.17155,0.29795,0.05375,0.97925,0.19705,0.56025,0.14535,0.39085,0.53635,14.7016067099758
0.02875,0.89595,0.24435,0.50285,0.35295,0.41855,0.87105,0.11935,0.95535,0.55645,0.08265,0.32785,0.63735,0.75135,0.56455,14.7032159915723
0.24155,0.75025,0.97045,0.69235,0.56795,0.33325,0.35425,0.08615,0.11585,0.03935,0.68015,0.22845,0.17435,0.69315,0.58025,14.706426197795
0.19835,0.56225,0.05865,0.62725,0.88545,0.39825,0.78465,0.11045,0.76215,0.40635,0.21545,0.04185,0.16655,0.07195,0.16965,14.7068894140286
0.46365,0.59595,0.03195,0.75745,0.54845,0.34755,0.69995,0.05515,0.51875,0.96035,0.83915,0.08195,0.11365,0.83105,0.47395,14.7498879049578
0.30735,0.82455,0.11615,0.11105,0.56235,0.09325,0.91215,0.27675,0.68585,0.77475,0.57835,0.48375,0.34545,0.05805,0.24535,14.7614716430163
0.33585,0.67745,0.34275,0.15405,0.52725,0.54105,0.46315,0.11975,0.70285,0.95575,0.66985,0.48615,0.17395,0.66285,0.19485,14.7646662896777
0.62945,0.85295,0.92355,0.90805,0.18115,0.11865,0.16395,0.15255,0.55115,0.99015,0.10025,0.41975,0.08065,0.44845,0.15755,14.7910803258878
0.07165,0.95755,0.42735,0.13675,0.42215,0.16795,0.96205,0.35235,0.83445,0.48455,0.87115,0.65025,0.21305,0.16045,0.01705,14.7917431322517
0.67855,0.86095,0.68385,0.67275,0.14385,0.07325,0.55255,0.49725,0.90965,0.23075,0.20175,0.52955,0.26505,0.64965,0.23845,14.7965133503247
0.54765,0.61195,0.11595,0.99545,0.73745,0.03365,0.65385,0.24495,0.87115,0.68835,0.28215,0.90055,0.19135,0.40175,0.41045,14.8140336106415
0.63715,0.73965,0.54625,0.71865,0.31405,0.16385,0.81695,0.22335,0.35605,0.81705,0.26595,0.58685,0.21825,0.51665,0.42095,14.8161687944615
0.20685,0.65295,0.82585,0.26825,0.21215,0.19865,0.28605,0.17765,0.84035,0.76885,0.75315,0.63425,0.15165,0.68245,0.66005,14.8209123325502
0.24035,0.75515,0.00625,0.61025,0.62585,0.61385,0.92865,0.53275,0.37345,0.29815,0.21035,0.15845,0.01915,0.33765,0.32775,14.8310722106853
0.55185,0.88945,0.91355,0.63475,0.02795,0.49665,0.54665,0.24055,0.49955,0.85705,0.48505,0.96595,0.28735,0.66435,0.66315,14.8524657875571
0.82975,0.80215,0.51865,0.37325,0.19325,0.19835,0.89145,0.39725,0.97215,0.89575,0.26525,0.63315,0.06155,0.37575,0.23225,14.8924786344068
0.17625,0.92895,0.04405,0.87675,0.75695,0.12865,0.63005,0.31245,0.17075,0.95905,0.11245,0.79965,0.11565,0.95675,0.98905,14.8966353692064
0.80535,0.87625,0.28365,0.25845,0.57415,0.31415,0.87685,0.20375,0.68345,0.92185,0.42505,0.78315,0.07365,0.65145,0.08465,14.8967808752143
0.15675,0.99215,0.92065,0.50565,0.42805,0.34655,0.00815,0.16815,0.99285,0.13895,0.93515,0.79395,0.09285,0.52325,0.08275,14.9050553367286
0.14025,0.54135,0.92515,0.81275,0.01775,0.41425,0.80655,0.44635,0.16435,0.14535,0.59015,0.06325,0.00775,0.28915,0.74995,14.9120046568262
0.22285,0.72655,0.45745,0.86895,0.80265,0.16745,0.33375,0.08115,0.83005,0.34885,0.06915,0.13455,0.26765,0.89695,0.69655,14.9147158655667
0.26275,0.68075,0.85285,0.40315,0.80585,0.34885,0.53985,0.25295,0.24145,0.86445,0.60805,0.66335,0.14285,0.37585,0.72175,14.9165333981219
0.18575,0.63935,0.46085,0.24335,0.52305,0.29145,0.68725,0.28915,0.85895,0.82935,0.67985,0.62245,0.34715,0.78125,0.42795,14.9529845674484
0.58645,0.95255,0.52735,0.73095,0.03455,0.13505,0.70255,0.19675,0.06685,0.98675,0.87855,0.01675,0.51675,0.13495,0.61905,14.9546333947795
0.44855,0.90785,0.38485,0.65125,0.45435,0.22065,0.79775,0.44625,0.43165,0.95245,0.94655,0.56785,0.46175,0.56695,0.52785,14.9663002847287
0.04225,0.70785,0.80385,0.15935,0.70685,0.76725,0.46805,0.12845,0.47965,0.59495,0.07565,0.63955,0.04565,0.08985,0.34095,14.9920648257246
0.29645,0.82805,0.20725,0.65745,0.94325,0.73105,0.46335,0.09975,0.70085,0.92805,0.58985,0.95685,0.28245,0.48165,0.21915,15.0266820529448
0.03555,0.83235,0.55855,0.68985,0.93875,0.82645,0.46845,0.01535,0.58975,0.38985,0.18225,0.39205,0.29585,0.37735,0.57295,15.02813594521
0.54165,0.92865,0.65475,0.90315,0.09205,0.20125,0.13325,0.00775,0.84505,0.58675,0.46715,0.65305,0.32965,0.24165,0.14495,15.0373974410053
