sim.id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,aidsstage.final,aidsstage.start,birth.boygirlratio,birth.pregnancyduration.dist.fixed.value,birth.pregnancyduration.dist.type,chronicstage.acutestagetime,conception.alpha_ageman,conception.alpha_agewoman,conception.alpha_base,conception.alpha_wsf,conception.beta,conception.t_max,conception.wsf.dist.fixed.value,conception.wsf.dist.type,debut.debutage,diagnosis.agefactor,diagnosis.baseline,diagnosis.beta,diagnosis.diagpartnersfactor,diagnosis.genderfactor,diagnosis.isdiagnosedfactor,diagnosis.t_max,dissolution.Dp,dissolution.alpha_0,dissolution.alpha_1,dissolution.alpha_2,dissolution.alpha_3,dissolution.alpha_4,dissolution.alpha_5,dissolution.beta,dissolution.t_max,dropout.interval.dist.type,dropout.interval.dist.uniform.max,dropout.interval.dist.uniform.min,formation.hazard.agegapry.baseline,formation.hazard.agegapry.beta,formation.hazard.agegapry.distance,formation.hazard.agegapry.eagerness_diff,formation.hazard.agegapry.eagerness_sum,formation.hazard.agegapry.gap_agescale_man,formation.hazard.agegapry.gap_agescale_woman,formation.hazard.agegapry.gap_factor_man_age,formation.hazard.agegapry.gap_factor_man_const,formation.hazard.agegapry.gap_factor_man_exp,formation.hazard.agegapry.gap_factor_woman_age,formation.hazard.agegapry.gap_factor_woman_const,formation.hazard.agegapry.gap_factor_woman_exp,formation.hazard.agegapry.maxageref.diff,formation.hazard.agegapry.meanage,formation.hazard.agegapry.numrel_diff,formation.hazard.agegapry.numrel_man,formation.hazard.agegapry.numrel_scale_man,formation.hazard.agegapry.numrel_scale_woman,formation.hazard.agegapry.numrel_woman,formation.hazard.agegapry.t_max,formation.hazard.type,hivseed.age.max,hivseed.age.min,hivseed.amount,hivseed.gender,hivseed.stop.short,hivseed.time,hivseed.type,intervention.baseconfigname,intervention.enabled,intervention.fileids,intervention.times,monitoring.cd4.threshold,monitoring.fraction.log_viralload,monitoring.interval.piecewise.cd4s,monitoring.interval.piecewise.left,monitoring.interval.piecewise.right,monitoring.interval.piecewise.times,mortality.aids.survtime.C,mortality.aids.survtime.k,mortality.normal.weibull.genderdiff,mortality.normal.weibull.scale,mortality.normal.weibull.shape,periodiclogging.interval,periodiclogging.starttime,person.agegap.man.dist.normal.max,person.agegap.man.dist.normal.min,person.agegap.man.dist.normal.mu,person.agegap.man.dist.normal.sigma,person.agegap.man.dist.type,person.agegap.woman.dist.normal.max,person.agegap.woman.dist.normal.min,person.agegap.woman.dist.normal.mu,person.agegap.woman.dist.normal.sigma,person.agegap.woman.dist.type,person.art.accept.threshold.dist.fixed.value,person.art.accept.threshold.dist.type,person.cd4.end.dist.type,person.cd4.end.dist.uniform.max,person.cd4.end.dist.uniform.min,person.cd4.start.dist.type,person.cd4.start.dist.uniform.max,person.cd4.start.dist.uniform.min,person.eagerness.dist.gamma.a,person.eagerness.dist.gamma.b,person.eagerness.dist.type,person.geo.dist2d.fixed.xvalue,person.geo.dist2d.fixed.yvalue,person.geo.dist2d.type,person.survtime.logoffset.dist.fixed.value,person.survtime.logoffset.dist.type,person.vsp.maxvalue,person.vsp.model.logdist2d.dist2d.binormalsymm.max,person.vsp.model.logdist2d.dist2d.binormalsymm.mean,person.vsp.model.logdist2d.dist2d.binormalsymm.min,person.vsp.model.logdist2d.dist2d.binormalsymm.rho,person.vsp.model.logdist2d.dist2d.binormalsymm.sigma,person.vsp.model.logdist2d.dist2d.type,person.vsp.model.logdist2d.usealternativeseeddist,person.vsp.model.type,person.vsp.toacute.x,person.vsp.toaids.x,person.vsp.tofinalaids.x,population.coarsemap.subdivx,population.coarsemap.subdivy,population.eyecap.fraction,population.maxevents,population.nummen,population.numwomen,population.simtime,relocation.enabled,syncpopstats.interval,syncrefyear.interval,transmission.maxageref.diff,transmission.param.a,transmission.param.b,transmission.param.c,transmission.param.d1,transmission.param.d2,transmission.param.f1,transmission.param.f2,growth.rate,median.AD,Q1.AD,Q3.AD,prev.15.25,prev.25.50,ART.cov.15.50,incid.wom.15.30,frac.degreeGT1.wom.15.30
1,0.968718559,0.065345506,0.709862136,0.324829197,0.322846592,0.800988967,0.442164219,0.615579188,0.547132435,0.420234136,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-1.896330874,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.067715341,0.1,0.23,0.1,0,0,-0.618912137,0,0,-0.618912137,1,0,0,-1.045239125,0,0,-1.045239125,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,1.768656876,1.320698652,normal,Inf,#NAME?,2.462316751,1.130351204,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.940565262,8.594002835,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.002495508,5.86569509,3.959,7.833,0,0.012738854,0.333333333,0,0.318181818
2,0.614870251,0.47587015,0.835170561,0.348058727,0.646343983,0.567377146,0.554682852,0.180059541,0.046976525,0.711148813,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-1.595590655,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.035365602,0.1,0.23,0.1,0,0,-0.87588514,0,0,-0.87588514,1,0,0,-1.012717783,0,0,-1.012717783,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,2.218731406,0.570464787,normal,Inf,#NAME?,0.720238163,1.56672322,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.268253477,31.17285824,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,0.027415257,3.81989954,1.814,5.456,0.201550388,0.418772563,0.203517588,0.116619792,0.403225806
3,0.360301993,0.293493466,0.132711973,0.444082555,0.952367018,0.229450782,0.983930162,0.665379931,0.337822489,0.173783083,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-3.281491264,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.004763298,0.1,0.23,0.1,0,0,-1.24760414,0,0,-1.24760414,1,0,0,-0.878284423,0,0,-0.878284423,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,3.935720647,1.006733733,normal,Inf,#NAME?,2.661519726,0.760674624,normal,0.5,fixed,uniform,100,0,uniform,1300,700,0.784573787,21.14214065,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.024923966,6.881255256,6.633,7.129,0,0.017241379,0.333333333,0,0
4,0.247237916,0.871036027,0.053824006,0.512906295,0.181932722,0.551140341,0.302017398,0.609748189,0.473040404,0.217001363,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-3.470822387,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.081806728,0.1,0.23,0.1,0,0,-0.893745625,0,0,-0.893745625,1,0,0,-0.781931187,0,0,-0.781931187,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,1.208069592,1.209560607,normal,Inf,#NAME?,2.438992756,0.825502044,normal,0.5,fixed,uniform,100,0,uniform,1300,700,0.56975204,52.90698146,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.015037,6.985975468,4.633,9.399,0.020833333,0.136054422,0.3125,0.035857937,0.782608696
5,0.291080873,0.410112063,0.024151275,0.729943571,0.515083494,0.753673371,0.025891051,0.652863996,0.897731359,0.330165029,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-3.542036941,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.048491651,0.1,0.23,0.1,0,0,-0.670959292,0,0,-0.670959292,1,0,0,-0.478079001,0,0,-0.478079001,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,0.103564205,1.846597038,normal,Inf,#NAME?,2.611455985,0.995247543,normal,0.5,fixed,uniform,100,0,uniform,1300,700,0.653053658,27.55616346,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.017129475,5.598540789,2.434,7.376,0.024390244,0.139344262,0.288888889,0.029359823,0.176470588
6,0.919815562,0.567333176,0.578181139,0.746868797,0.594247131,0.910787112,0.829209726,0.133003745,0.603631694,0.467553526,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-2.212365265,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.040575287,0.1,0.23,0.1,0,0,-0.498134177,0,0,-0.498134177,1,0,0,-0.454383684,0,0,-0.454383684,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,3.316838904,1.405447541,normal,Inf,#NAME?,0.532014978,1.20133029,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.847649567,36.20332468,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.923357212,0.968084017,0.030933774,0.801881998,0.122586225,0.705771141,0.386397975,0.639279425,0.161191085,0.374169122,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-3.525758943,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.087741377,0.1,0.23,0.1,0,0,-0.723651745,0,0,-0.723651745,1,0,0,-0.377365202,0,0,-0.377365202,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,1.545591899,0.741786628,normal,Inf,#NAME?,2.557117699,1.061253683,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.854378702,58.24462092,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.930919732,0.452517684,0.314192086,0.599655041,0.120833183,0.088139305,0.753275686,0.200327896,0.424199028,0.69843166,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-2.845938994,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.087916682,0.1,0.23,0.1,0,0,-1.403046764,0,0,-1.403046764,1,0,0,-0.660482942,0,0,-0.660482942,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,3.013102744,1.136298542,normal,Inf,#NAME?,0.801311583,1.547647491,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.868747492,29.88847261,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.007629185,4.949610439,3.154,7.374,0,0.235955056,0.244186047,0.037995302,0.609756098
9,0.239485525,0.75656676,0.177624676,0.599401939,0.475334898,0.717795214,0.609516385,0.157754746,0.084936739,0.992193555,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-3.173700779,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.05246651,0.1,0.23,0.1,0,0,-0.710425264,0,0,-0.710425264,1,0,0,-0.660837285,0,0,-0.660837285,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,2.438065539,0.627405108,normal,Inf,#NAME?,0.631018984,1.988290333,normal,0.5,fixed,uniform,100,0,uniform,1300,700,0.555022497,46.61117181,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,-0.011630378,5.210886185,2.478,8.95,0,0.125,0.301886792,0.008684887,0.583333333
10,0.937533632,0.653935817,0.444078488,0.69168424,0.686666783,0.913292334,0.227264808,0.796150178,0.860206308,0.049266027,0.5,1.25,0.497512438,0.734246575,fixed,0.25,0,0,-2.53421163,0,0,200,0,fixed,14,0,-100,0,0,0,0,200,0,-0.52,0,0,0,-0.05,0,0,200,uniform,10,0.25,0.1,0,0,-0.031333322,0.1,0.23,0.1,0,0,-0.495378433,0,0,-0.495378433,1,0,0,-0.531642064,0,0,-0.531642064,200,agegapry,30,20,20,any,yes,10,amount,simpact-cyan-2016-10-15-07-58-37_9000_yUJI3FJB-interventionconfig_%.txt,yes,"1,2,3,4","27.0,30.0,33.0,36.0",0.01,0.7,"200,350",0.16666,0.5,"0.25,0.25",1325,-0.49,0,65,5,1,-1,Inf,#NAME?,0.90905923,1.790309462,normal,Inf,#NAME?,3.184600713,0.57389904,normal,0.5,fixed,uniform,100,0,uniform,1300,700,1.8813139,40.96646991,gamma,0,0,fixed,0,fixed,1000000000,8,4,1,0.33,1,binormalsymm,no,logdist2d,10,7,12,20,20,0.2,80000,500,500,40,no,-1,1,1,-1.0352239,-89.339994,0.4948478,0,0,1.609437912,-0.112661313,NA,NA,NA,NA,NA,NA,NA,NA,NA
