"","V1","V2"
"1","5.0.A","9.3580980772"
"2","5.1.A","12.0316264265"
"3","5.2.A","13.6975420949"
"4","5.3.A","8.7496330805"
"5","5.4.A","11.9571971416"
"6","5.5.A","11.1939401429"
"7","5.6.A","4.3518194871"
"8","5.7.A","2.1698074547"
"9","5.8.A","9.7827760045"
"10","5.9.A","8.4270032604"
"11","5.10.A","8.3801518075"
"12","5.11.A","13.8121025266"
"13","5.12.A","6.8925528999"
"14","5.13.A","5.9173813699"
"15","5.14.A","6.1526429931"
"16","5.15.A","6.0854198386"
"17","5.16.A","13.770735427"
"18","5.17.A","7.6733273387"
"19","5.18.A","9.455166415"
"20","5.19.A","9.2756489726"
"21","5.20.A","6.9310750943"
"22","5.21.A","3.2052874299"
"23","5.22.A","7.1375482234"
"24","5.23.A","6.6957676201"
"25","5.24.A","14.1278038409"
"26","5.25.A","4.6268788783"
"27","5.26.A","5.5408317697"
"28","5.27.A","8.4826264514"
"29","5.28.A","7.2187817368"
"30","5.29.A","7.3089007028"
"31","5.30.A","1.9552193968"
"32","5.31.A","6.3543800962"
"33","5.32.A","8.9384975906"
"34","5.33.A","3.4325711375"
"35","5.34.A","10.4148148175"
"36","5.35.A","2.6137176708"
"37","5.36.A","6.0200525988"
"38","5.37.A","8.9555350439"
"39","5.38.A","8.2816309212"
"40","5.39.A","3.2423006521"
"41","5.40.A","6.8506450868"
"42","5.41.A","9.8540089306"
"43","5.42.A","7.0960241758"
"44","5.43.A","7.6593428423"
"45","5.44.A","11.3419627697"
"46","5.45.A","2.7278110567"
"47","5.46.A","9.7988579191"
"48","5.47.A","3.3443587909"
"49","5.48.A","5.9698613465"
"50","5.49.A","0"
"51","5.50.A","8.8484557399"
"52","5.51.A","0"
"53","5.52.A","5.7063517033"
"54","5.53.A","5.9960044807"
"55","5.54.A","2.6687351115"
"56","5.55.A","6.9924571747"
"57","5.56.A","3.2447701897"
"58","5.57.A","6.4360061679"
"59","5.58.A","10.2777960911"
"60","5.59.A","6.8496815259"
"61","5.60.A","3.5821150808"
"62","5.61.A","5.4745327505"
"63","5.62.A","6.5892590319"
"64","5.63.A","6.7884190883"
"65","5.64.A","4.4328160073"
"66","5.65.A","5.4530825956"
"67","5.66.A","3.4794559722"
"68","5.67.A","7.3695849665"
"69","5.68.A","2.5136735088"
"70","5.69.A","5.9687181107"
"71","5.70.A","2.8814820465"
"72","5.71.A","6.2837902966"
"73","5.72.A","2.9470623101"
"74","5.73.A","9.5716676397"
"75","5.74.A","4.0813681716"
"76","5.75.A","9.2604704147"
"77","5.76.A","6.0027091068"
"78","5.77.A","3.0266378192"
"79","5.78.A","1.9402103292"
"80","5.79.A","2.2946795744"
"81","5.80.A","3.6865394318"
"82","5.81.A","0"
"83","5.82.A","4.0359904077"
"84","5.83.A","0"
"85","5.84.A","0.776921492699998"
"86","5.85.A","2.3114236027"
"87","5.86.A","0"
"88","5.87.A","0"
"89","5.88.A","2.7472427157"
"90","5.89.A","3.5465835876"
"91","5.90.A","0"
"92","5.91.A","0"
"93","5.92.A","3.7729449097"
"94","5.93.A","0"
"95","5.94.A","3.8549041312"
"96","5.95.A","5.4980067725"
"97","5.96.A","0"
"98","5.97.A","1.4913676632"
"99","5.98.A","3.9443182134"
"100","5.99.A","0"
"101","5.100.A","4.8768294487"
"102","5.101.A","0"
"103","5.102.A","0.7652976603"
"104","5.103.A","0.196065752199999"
"105","5.104.A","0"
"106","5.105.A","3.7440684142"
"107","5.106.A","0"
"108","5.107.A","0.863381590199999"
"109","5.108.A","0"
"110","5.109.A","3.675014233"
"111","5.110.A","0"
"112","5.111.A","1.6032458414"
"113","5.112.A","3.1988543529"
"114","5.113.A","0"
"115","5.114.A","0"
"116","5.115.A","1.9878550971"
"117","5.116.A","0"
"118","5.117.A","0"
"119","5.118.A","0"
"120","5.119.A","0"
"121","5.120.A","1.5439667901"
"122","5.121.A","0"
"123","5.122.A","0"
"124","5.123.A","0"
"125","5.124.A","0"
"126","5.125.A","1.1663205241"
"127","5.126.A","0"
"128","5.127.A","0.407741200499999"
"129","5.128.A","0"
"130","5.129.A","0"
"131","5.130.A","0"
"132","5.131.A","0"
"133","5.132.A","0"
"134","5.133.A","0"
"135","5.134.A","0.469187033399997"
"136","5.135.A","0"
"137","5.136.A","0"
"138","5.137.A","0"
"139","5.138.A","0"
"140","5.139.A","0.754658488600001"
"141","5.140.A","0"
"142","5.141.A","0"
"143","5.142.A","2.0414180219"
"144","5.143.A","0"
"145","5.144.A","0"
"146","5.145.A","0"
"147","5.146.A","0"
"148","5.147.A","0"
"149","5.148.A","0"
"150","5.149.A","0"
"151","5.150.A","1.2849150368"
"152","5.151.A","0"
"153","5.152.A","0"
"154","5.153.A","0.904080965799999"
"155","5.154.A","0.0232546869000032"
"156","5.155.A","0"
"157","5.156.A","1.6107453521"
"158","5.157.A","1.446005603"
"159","5.158.A","0"
"160","5.159.A","0"
"161","5.160.A","0"
"162","5.161.A","0"
"163","5.162.A","0"
"164","5.163.A","0"
"165","5.164.A","0"
"166","5.165.A","0"
"167","5.166.A","0"
"168","5.167.A","0"
"169","5.168.A","0"
"170","5.169.A","0"
"171","5.170.A","0"
"172","5.171.A","0"
"173","5.172.A","0"
"174","5.173.A","0"
"175","5.174.A","0"
"176","5.175.A","0"
"177","5.176.A","0"
"178","5.177.A","0"
"179","5.178.A","0"
"180","5.179.A","0"
"181","5.180.A","0"
"182","5.181.A","0"
"183","5.182.A","0"
"184","5.183.A","0"
"185","5.184.A","0"
"186","5.185.A","0"
"187","5.186.A","0"
"188","5.187.A","0"
"189","5.188.A","0"
"190","5.189.A","0"
"191","5.190.A","0"
"192","5.191.A","0"
"193","5.192.A","0"
"194","5.193.A","0"
"195","5.194.A","0"
"196","5.195.A","0"
"197","5.196.A","0"
"198","5.197.A","0"
"199","5.198.A","0"
"200","5.199.A","0"
"201","5.200.A","0"
"202","5.201.A","0"
"203","5.202.A","0"
"204","5.203.A","0"
"205","5.204.A","0"
"206","5.205.A","0"
"207","5.206.A","0"
"208","5.207.A","0"
"209","5.208.A","0"
"210","5.209.A","0"
"211","5.210.A","0"
"212","5.211.A","0"
"213","5.212.A","0"
"214","5.213.A","0"
"215","5.214.A","0"
"216","5.215.A","0"
"217","5.216.A","0"
"218","5.217.A","0"
"219","5.218.A","0"
"220","5.219.A","0"
