name,length,assignment,support,begin,end,type,pure,pure_support,pure_inner,pure_outer,scan_best_support,scan_assigned_support,scan_assigned_nosupport,scan_best_profile,scan_assigned_profile,crf,crf_support,crf_inner,crf_outer,crfscan_best_support,crfscan_assigned_support,crfscan_assigned_nosupport,crfscan_best_profile,crfscan_assigned_profile,major_id,minor_id
"A.pol.part.1.800",800,"HIV-1 Subtype A (A1)",100.0,2012,2806,HIV 1,A1,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"A.pol.part.2.800",800,"HIV-1 Subtype A (A1)",100.0,2806,3606,HIV 1,A1,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"A.pol.part.3.800",800,"HIV-1 Subtype A (A1)",100.0,3606,4406,HIV 1,A1,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"A.pol.part.4.612",612,"HIV-1 Subtype A (A1)",100.0,4406,5018,HIV 1,A1,100.0,116.0,0.0,,,,,,,,,,,,,,,,
"B.pol.part.1.800",800,"HIV-1 Subtype B",100.0,2084,2884,HIV 1,B,100.0,189.0,0.0,,,,,,,,,,,,,,,,
"B.pol.part.2.800",800,"HIV-1 Subtype B",100.0,2884,3684,HIV 1,B,100.0,136.0,0.0,,,,,,,,,,,,,,,,
"B.pol.part.3.800",800,"HIV-1 Subtype B",100.0,3684,4484,HIV 1,B,100.0,170.0,0.0,,,,,,,,,,,,,,,,
"B.pol.part.4.612",612,"HIV-1 Subtype B",99.0,4484,5096,HIV 1,B,99.0,70.0,32.0,,,,,,,,,,,,,,,,
"C.pol.part.1.800",800,"HIV-1 Subtype C",100.0,2021,2782,HIV 1,C,100.0,149.0,10.0,,,,,,,,,,,,,,,,
"C.pol.part.2.800",800,"Check the report",,2782,3582,HIV 1,C,99.0,6.0,89.0,,,,,,,,,,,,,,,,
"C.pol.part.3.800",800,"Check the report",,3582,4382,HIV 1,C,97.0,17.0,81.0,,,,,,,,,,,,,,,,
"C.pol.part.4.612",612,"HIV-1 Subtype C",99.0,4382,4994,HIV 1,C,99.0,89.0,28.0,,,,,,,,,,,,,,,,
"D.pol.part.1.800",800,"Check the report",,2009,2794,HIV 1,D,46.0,21.0,60.0,,,,,,,,,,,,,,,,
"D.pol.part.2.800",800,"Check the report",,2794,3594,HIV 1,D,55.0,0.0,89.0,,,,,,,,,,,,,,,,
"D.pol.part.3.800",800,"HIV-1 Subtype D",92.0,3594,4394,HIV 1,D,92.0,77.0,34.0,,,,,,,,,,,,,,,,
"D.pol.part.4.612",612,"Check the report",,4394,5006,HIV 1,D,55.0,119.0,7.0,,,,,,,,,,,,,,,,
"G.pol.part.1.800",800,"HIV-1 Subtype G",100.0,1952,2752,HIV 1,G,100.0,105.0,0.0,,,,,,,,,,,,,,,,
"G.pol.part.2.800",800,"HIV-1 Subtype G",100.0,2752,3552,HIV 1,G,100.0,114.0,0.0,,,,,,,,,,,,,,,,
"G.pol.part.3.800",800,"HIV-1 Subtype G",100.0,3552,4352,HIV 1,G,100.0,100.0,0.0,,,,,,,,,,,,,,,,
"G.pol.part.4.612",612,"HIV-1 Subtype G",97.0,4352,4964,HIV 1,G,97.0,100.0,0.0,,,,,,,,,,,,,,,,
